id,title,price,location,latitude,longitude,type,size,no_of_bedrooms,no_of_bathrooms,completion_status,amenities
6562472,Amazing 2 BR | Fully furnished I Vacant,1490000,"Dubai, Downtown Dubai, Standpoint Towers",25.19702,55.271023,Apartment,"1,167 sqft
                      /            108 sqm",2,2,Ready,"Furnished, Balcony, Barbecue Area, Built in Wardrobes, Central A/C, Shared Gym, Shared Pool, "
6587672,Ready 1BR Burj Khalifa View | Luxury Apartment,950000,"Dubai, Business Bay",25.180301,55.263892,Apartment,"894 sqft
                      /            83 sqm",1,2,Ready,"Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Private Pool, Security, Shared Gym, Shared Pool, Shared Spa, View of Landmark, View of Water, "
6666254,Brand New 2BR Flat | Amazing Location| Close to Metro Sation,1100000,"Dubai, Dubai Marina, Marina Wharf",25.072396,55.132386,Apartment,"985 sqft
                      /            92 sqm",2,2,Ready,"Unfurnished, Balcony, Central A/C, Pets Allowed, Security, Shared Gym, Shared Pool, Walk-in Closet, "
6715521,Marina View From All Rooms | Two + Maids,1390000,"Dubai, Dubai Marina",25.079783,55.139046,Apartment,"1,307 sqft
                      /            121 sqm",2,4,Ready,
6728311,No pillar 3BR+M|DIFC view|Mid floor,3999900,"Dubai, Downtown Dubai, Burj Khalifa Area",25.197316,55.274196,Apartment,"2,323 sqft
                      /            216 sqm",3 + Maid,4,Ready,"Unfurnished, Built in Wardrobes, Central A/C, Children's Play Area, Concierge, Covered Parking, Kitchen Appliances, Maids Room, Private Jacuzzi, Shared Gym, Shared Pool, View of Water, "
6768809,Exclusive | Upgraded | Full Marina Views,3349000,"Dubai, Dubai Marina",25.08377,55.145075,Apartment,"3,930 sqft
                      /            365 sqm",3,4,Ready,
6786263,Amazing 3BR Garden Apartment|Serenia Residences,8470000,"Dubai, Palm Jumeirah, Serenia Residences The Palm",25.132021,55.151405,Apartment,"5,232 sqft
                      /            486 sqm",3 + Maid,3,Ready,"Unfurnished, Balcony, Barbecue Area, Built in Wardrobes, Central A/C, Concierge, Maids Room, Shared Gym, Shared Pool, View of Water, "
6799796,Exclusive | Vacant Big 3 Bed | Marina View,2499000,"Dubai, Dubai Marina",25.084331,55.141679,Apartment,"2,490 sqft
                      /            231 sqm",3,4,Ready,"Unfurnished, Balcony, Built in Wardrobes, Central A/C, Concierge, Covered Parking, Pets Allowed, Security, Shared Gym, Shared Pool, Study, View of Water, Walk-in Closet, "
6810606,IMMEDIATE SALE | HIGH FLOOR | TYPE A CORNER UNIT,2800000,"Dubai, Downtown Dubai, Burj Khalifa Area",25.194282,55.271884,Apartment,"1,712 sqft
                      /            159 sqm",2,3,Off-plan,"Unfurnished, Balcony, Built in Wardrobes, Central A/C, Concierge, Covered Parking, Maid Service, Private Pool, Shared Gym, Walk-in Closet, "
6810606,IMMEDIATE SALE | HIGH FLOOR | TYPE A CORNER UNIT,2800000,"Dubai, Downtown Dubai, Burj Khalifa Area",25.194282,55.271884,Apartment,"1,712 sqft
                      /            159 sqm",2,3,Off-plan,"Unfurnished, Balcony, Built in Wardrobes, Central A/C, Concierge, Covered Parking, Maid Service, Private Pool, Shared Gym, Walk-in Closet, "
6814944,Astonishing Full Marina View| Low Floor |Furnished,8500000,"Dubai, Dubai Marina, Silverene",25.074958,55.138542,Apartment,"5,079 sqft
                      /            472 sqm",4,4,Ready,"Furnished, Balcony, Barbecue Area, Built in Wardrobes, Children's Play Area, Concierge, Covered Parking, Shared Gym, Shared Pool, View of Water, "
6820539,Brand new Unit |Confirmed Listing | Call now & Try,1875000,"Dubai, Downtown Dubai, BLVD Crescent",25.191719,55.270677,Apartment,"1,543 sqft
                      /            143 sqm",2,3,Ready,"Unfurnished, Balcony, Built in Wardrobes, Central A/C, Children's Play Area, Shared Pool, "
6833412,Vacant | 1 Bd | Exclusive | Community View,1275000,"Dubai, Old Town, Reehan",25.190044,55.277388,Apartment,"938 sqft
                      /            87 sqm",1,2,Ready,
6840187,Lavish 1 BR APT | Ready Next Year on Zabeel Park,1465777,"Dubai, Al Kifaf",25.233787,55.294217,Apartment,"999 sqft
                      /            93 sqm",1,2,Off-plan,"Unfurnished, Balcony, Built in Wardrobes, Central A/C, Concierge, Covered Parking, Lobby in Building, Private Gym, Private Pool, Security, Shared Gym, Shared Pool, View of Landmark, "
